Désignations;Références;Quantité;Emplacement
Regulateur de temperature;Amtr220;1;O.6.1
Regulateur de temperature;ACE-ELADIGIT;1;O.6.1
Regulateur de temperature Pid;Omron E5cc-Rx3A5M-000;1;O.6.1
Thermostat Industriel;5634012830MC5025;1;O.6.1
Regulateur de temperature ;E5CW;2;O.6.1
Regulateur Numerique de temperature;Eurotherm 2132;1;O.6.1
Regulateur Shinko de temperature;Jcs-33A-R/M-01;1;O.6.1
Regulateur Vitesse du moteur continue;Grossenbach;1;O.6.2
Variateur monophasé ;Eliwell Fasec 33;1;O.6.2
Controleur de Zone ;Denki CRM-105FP1-EUR;1;O.6.2
Convertisseur SAMSON;;1;O.6.2
Regulateur de temperature universel;Landis&Gyr Polygyr Rwf612;2;O.6.2
Alimentation à Decoupage ;Omron S82K-05024;1;O.6.2
Interface d'affichage ASCII;BURR BROWN TM 76 ;1;O.6.3
Controleur/Clavier Telemecanique;VW3A66206;1;O.6.3
Clavier de command;SEW-EURODRIVE DBG11B;1;O.6.3
Module de sécurité ;SICK ;1;O.6.3
Interface Homme-Machine;Pliz Mini-Touch 270;1;O.6.3
Indicateur Led Programmable;PR ELECTRONICS 5714;2;O.6.3
Module de contrôle  ;AUTOMATISME ZSDA 1/2;1;O.6.3
Controleur de Niveau;GESTRA NRS;1;O.6.3
Bloc de contact ;Telemecanique XAL-W6;1;O.6.4
Controleur de temperature;Datalogic;4;O.6.4
Convertisseur JVS en JAMMA;;1;O.6.4
Verin Rotatif pneu;DSR-25-180-P;1;O.6.4
Controleur de debit;Electronic SI5;2;O.6.4
Regulateur numerique Compact;Samson Trovis 6494;1;O.6.5
Regulateur numerique Avancé;Omron E5AN-HAA2HBBMD;2;O.6.5
Controleur de temperature Industriel;West 6100;5;O.6.5
Regulateur de temperature programmable;Eliwell Ewtr 930;4;O.6.5
Regulateur digital de Temperature;Rcq 5100/10-0-054;4;O.6.5
Disjoncteur Moteur;Klockner Moeller LC-PS-24;1;O.6.6
Debimètre;SU7000;3;O.6.6
Regulateur de temperature;Omron E5AC-RX4A5M-010;1;O.6.6
Regulateur de temperature;ERO Electronic EVH DOSa;1;O.6.6
Regulateur de temperature Datalogic;Es00;5;O.6.6
Boitier Electrique;Landis&Gyr ARG6100;1;O.6.7
Sonde de temperature;QAA24;2;O.6.7
Regulateur electronique de temperature;LAE AC1-5TS2RD;1;O.6.7
Poignet de fenetre;;6;O.6.7
Module de connexion Sick;CD420-0001;2;O.6.8
Bloc d'extension de contact pliz;77414150;1;O.6.8
Socle de relais octal;ENTRELEC ES8;1;O.6.8
Capteur photoelectrique;E3C-183R;1;O.5.1
Capteur de proximité;543892;11;O.5.1
Capteur photoelectrique;PLK23-6-M-1000;1;O.5.1
Interrupteur à Lames Souples;Souple creed switch;4;O.5.1
Capteur de securité;;1;O.5.1
Actionneur plat;T4000-1KBA;1;O.5.1
Capteur de position;830100441;3;O.5.1
Capteur de Contraste;NT603012;1;O.5.1
Detecteur inductif;IFM effector;2;O.5.2
Barriere  Photoelectrique;MLV40-54/47/70B;1;O.5.2
Capteur magnetique pour verin;;4;O.5.2
Capteur magnetique pour verin;MK5107;2;O.5.2
Fibre Optique pour capteur;E32-TC200;3;O.5.2
Reflecteur de capteur;XUZC50;6;O.5.2
Interrupteur à Lames Souples;M/50/LS;4;O.5.2
Capteur photoelectrique;;1;O.5.2
Capteur de fibre optique;;1;O.5.2
Capteur photoelectrique;RK06;1;O.5.3
Capteur photoelectrique;E3Z-R86;4;O.5.3
Capteur photoelectrique;92EZMCAE;3;O.5.3
Capteur photoelectrique;MQ-W20CR-DC12-24VEM;1;O.5.3
Capteur de securité;440N-S32032;6;O.5.3
Capteur de securité;165270R;4;O.5.3
Capteur pression ;PA3021;1;O.5.3
Electrovane;O375;5;O.5.3
Capeur de securité codé;CHCZI8X110;1;O.5.4
Sonde electronique;VEGA;1;O.5.4
Capteur magnetique de position;KL3046;9;O.5.4
Capteur de cable;;2;O.5.4
Capteur de verrin pneumatique;MZT8-03VPS-KP01044458;6;O.5.4
Interrupteur de fin de course;;1;O.5.4
Capteur de proximité;830100365;12;O.5.4
Capteur photoelectrique;;1;O.5.4
Raccord de Vanne;;6;O.5.4
Capteur  Smc;;2;O.5.5
Sonde de temperature;Landis&gyr;1;O.5.5
Relais DPDT;CP60R-04;2;O.5.5
Capteur pression Bosh;830100382;2;O.5.5
Capteur de position;SMT-8F-25-24V-K2 5-OE-EX;2;O.5.5
Relecteur Telemecanique;XUZC24;4;O.5.5
Interrupteur de securité;XCSDMC5902;5;O.5.5
Capteur de temperature ;TA3437;1;O.5.6
Capteur photoelectrique;Leuze electronique RK 78/7-800;1;O.5.6
Emetteur de barrière;;9;O.5.6
Capteur ;ST6;1;O.5.6
Capteur photoelectrique;OLS22V200;2;O.5.6
Capteur photoelectrique;RK72/2-200;1;O.5.6
Capteur photoelectrique;WL10-7313;2;O.5.6
Capteur photoelectrique;XUHFO2631;4;O.5.6
Raccord pour capteur;;5;O.5.6
Capteur photoelectrique;42BA-SILPAG-A2;3;O.5.7
Interrupteur photoelectrique;Omron E3B2-D2M4D-G;1;O.5.7
Capteur de proximité;P8S-GPFTX;1;O.5.7
Capteur photoelectrique Omron;E3FA-DP23;1;O.5.7
Capteur photoelectrique;WE12L-2P430;1;O.5.7
Capteur photoelectrique;FEDK 10P3101;1;O.5.7
Dissipateur thermique;;1;O10.1
Declencheur Min tens;24V-50HZ-60HZ;3;O10.1
Disjoncteur moteur ;30-40A;3;O10.1
Disjoncteur moteur ;4A;1;O10.1
Disjoncteur modulaire ;63A;1;O10.1
Disjoncteur Magnéto-thermique ;10KA;1;O10.1
Disjoncteur moteur ;0 1-0 16A;3;O10.1
Disjoncteur Mini;2A;1;O10.2
Disjoncteur Mini;6A; ;O10.2
